Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
Ingestion Comparison: Kafka vs Kinesis,Thomas Schreiter discusses his project of comparing two,1,Insight,Insight,2016,1,1,data-engineering,6,104,0,https://blog.insightdatascience.com/ingestion-comparison-kafka-vs-kinesis-4c7f5193a7cd?source=tag_archive---------0-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------0-----------------------
Como se tornar um Data Engineer,Esses dias eu estava organizando meus favoritos e me deparei com o seguinte artigo no tableless.com:,1,Marcus Ortense,Marcus Ortense,2016,1,1,data-engineering,5,49,0,https://medium.com/marcus-ortense/como-se-tornar-um-data-engineer-e2355cd98d95?source=tag_archive---------1-----------------------,https://medium.com/@mahortense?source=tag_archive---------1-----------------------
When should I hire a data scientist?,"Being part of the New York data scene, and especially being part of multiple VC networks, I often get asked to meet and advise early-stage startups and give my perspective on setting up the right data infrastructure and data team. Frequently, I get asked when",0,Carl Anderson,NaN,2016,1,1,data-engineering,3,29,0,https://medium.com/@leapingllamas/when-should-i-hire-a-data-scientist-fb65c37bd858?source=tag_archive---------2-----------------------,https://medium.com/@leapingllamas?source=tag_archive---------2-----------------------
A New Kind of Data Conference,"There are excellent data-centric conferences held regularly around the world, and in the Bay Area, the capital of Big Data. While software engineering is blossoming around the US and the world, Big Data innovation still emanates from the Bay Area, and all things data with it",0,Alexy Khrabrov,Chief Scientist,2016,1,1,data-engineering,3,4,0,https://chiefscientist.org/a-new-kind-of-data-conference-cd18f0948852?source=tag_archive---------3-----------------------,https://chiefscientist.org/@ChiefScientist?source=tag_archive---------3-----------------------
You Dont Have Big Data and You Dont Need Data Scientists,NaN,1,Tim Tutt,Night Shift Engineering Blog,2016,1,1,data-engineering,4,2,0,https://medium.com/nightshiftdevelopment/you-don-t-have-big-data-and-you-don-t-need-data-scientists-c691afff9983?source=tag_archive---------4-----------------------,https://medium.com/@timtutt?source=tag_archive---------4-----------------------
Ingestion Comparison: Kafka vs Kinesis,Thomas Schreiter discusses his project of comparing two,1,Insight,Insight,2016,1,2,data-engineering,6,104,0,https://blog.insightdatascience.com/ingestion-comparison-kafka-vs-kinesis-4c7f5193a7cd?source=tag_archive---------0-----------------------,https://blog.insightdatascience.com/@InsightData?source=tag_archive---------0-----------------------
Como se tornar um Data Engineer,Esses dias eu estava organizando meus favoritos e me deparei com o seguinte artigo no tableless.com:,1,Marcus Ortense,Marcus Ortense,2016,1,2,data-engineering,5,49,0,https://medium.com/marcus-ortense/como-se-tornar-um-data-engineer-e2355cd98d95?source=tag_archive---------1-----------------------,https://medium.com/@mahortense?source=tag_archive---------1-----------------------
When should I hire a data scientist?,"Being part of the New York data scene, and especially being part of multiple VC networks, I often get asked to meet and advise early-stage startups and give my perspective on setting up the right data infrastructure and data team. Frequently, I get asked when",0,Carl Anderson,NaN,2016,1,2,data-engineering,3,29,0,https://medium.com/@leapingllamas/when-should-i-hire-a-data-scientist-fb65c37bd858?source=tag_archive---------2-----------------------,https://medium.com/@leapingllamas?source=tag_archive---------2-----------------------
A New Kind of Data Conference,"There are excellent data-centric conferences held regularly around the world, and in the Bay Area, the capital of Big Data. While software engineering is blossoming around the US and the world, Big Data innovation still emanates from the Bay Area, and all things data with it",0,Alexy Khrabrov,Chief Scientist,2016,1,2,data-engineering,3,4,0,https://chiefscientist.org/a-new-kind-of-data-conference-cd18f0948852?source=tag_archive---------3-----------------------,https://chiefscientist.org/@ChiefScientist?source=tag_archive---------3-----------------------
You Dont Have Big Data and You Dont Need Data Scientists,NaN,1,Tim Tutt,Night Shift Engineering Blog,2016,1,2,data-engineering,4,2,0,https://medium.com/nightshiftdevelopment/you-don-t-have-big-data-and-you-don-t-need-data-scientists-c691afff9983?source=tag_archive---------4-----------------------,https://medium.com/@timtutt?source=tag_archive---------4-----------------------
