Title,Subtitle,Image,Author,Publication,Year,Month,Day,Tag,Reading_Time,Claps,Comment,url,Author_url
NaN,NaN,1,Andr  Melo,NaN,2013,1,16,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,16,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,17,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,17,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,18,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,18,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,19,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,19,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,20,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,20,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,21,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,21,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,22,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,22,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,23,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,23,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,24,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,24,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,25,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,25,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,26,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,26,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,27,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,27,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,28,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,28,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,29,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,29,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,30,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,30,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,1,31,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
Big Data and Diverse Threats: The Essential Role of Domain Expertise,By Dr. Andrea Little Limbago,0,WIIS,Women in International Security,2013,1,31,data-analytics,6,0,0,https://medium.com/women-in-international-security/big-data-and-diverse-threats-the-essential-role-of-domain-expertise-eb7110e0acbb?source=tag_archive---------1-----------------------,https://medium.com/@WIISglobal?source=tag_archive---------1-----------------------
NaN,NaN,1,Andr  Melo,NaN,2013,2,1,data-analytics,3,1,0,https://medium.com/@andrevcmelo/steve-jobs-estava-certo-75ef48e9e601?source=tag_archive---------0-----------------------,https://medium.com/@andrevcmelo?source=tag_archive---------0-----------------------
